Job runs on node:
lrdn4986
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=4
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 2.916194, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 2.523569, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 2.541034, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 2.529893, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 2.311562, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 2.148661, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 2.023287, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 1.889279, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 1.206016, 	Val Loss = 1.131237
Epoch 2, 	Batch:1, 	Train Loss = 1.194088, 	Val Loss = 1.131237
Epoch 2, 	Batch:2, 	Train Loss = 1.187891, 	Val Loss = 1.131237
Epoch 2, 	Batch:3, 	Train Loss = 1.224079, 	Val Loss = 1.131237
Epoch 2, 	Batch:4, 	Train Loss = 1.135314, 	Val Loss = 1.131237
Epoch 2, 	Batch:5, 	Train Loss = 1.089914, 	Val Loss = 1.131237
Epoch 2, 	Batch:6, 	Train Loss = 1.044170, 	Val Loss = 1.131237
Epoch 2, 	Batch:7, 	Train Loss = 0.992391, 	Val Loss = 1.131237
Epoch 3, 	Batch:0, 	Train Loss = 0.874831, 	Val Loss = 0.800029
Epoch 3, 	Batch:1, 	Train Loss = 1.045364, 	Val Loss = 0.800029
Epoch 3, 	Batch:2, 	Train Loss = 1.181906, 	Val Loss = 0.800029
Epoch 3, 	Batch:3, 	Train Loss = 1.129526, 	Val Loss = 0.800029
Epoch 3, 	Batch:4, 	Train Loss = 1.016817, 	Val Loss = 0.800029
Epoch 3, 	Batch:5, 	Train Loss = 0.991882, 	Val Loss = 0.800029
Epoch 3, 	Batch:6, 	Train Loss = 0.933415, 	Val Loss = 0.800029
Epoch 3, 	Batch:7, 	Train Loss = 0.890247, 	Val Loss = 0.800029
Epoch 4, 	Batch:0, 	Train Loss = 0.783641, 	Val Loss = 0.664163
Epoch 4, 	Batch:1, 	Train Loss = 0.878767, 	Val Loss = 0.664163
Epoch 4, 	Batch:2, 	Train Loss = 1.049659, 	Val Loss = 0.664163
Epoch 4, 	Batch:3, 	Train Loss = 1.036831, 	Val Loss = 0.664163
Epoch 4, 	Batch:4, 	Train Loss = 0.983058, 	Val Loss = 0.664163
Epoch 4, 	Batch:5, 	Train Loss = 0.975639, 	Val Loss = 0.664163
Epoch 4, 	Batch:6, 	Train Loss = 0.928700, 	Val Loss = 0.664163
Epoch 4, 	Batch:7, 	Train Loss = 0.879191, 	Val Loss = 0.664163
Epoch 5, 	Batch:0, 	Train Loss = 0.658882, 	Val Loss = 0.595569
Epoch 5, 	Batch:1, 	Train Loss = 0.726476, 	Val Loss = 0.595569
Epoch 5, 	Batch:2, 	Train Loss = 0.839584, 	Val Loss = 0.595569
Epoch 5, 	Batch:3, 	Train Loss = 0.900427, 	Val Loss = 0.595569
Epoch 5, 	Batch:4, 	Train Loss = 0.832044, 	Val Loss = 0.595569
Epoch 5, 	Batch:5, 	Train Loss = 0.802511, 	Val Loss = 0.595569
Epoch 5, 	Batch:6, 	Train Loss = 0.750055, 	Val Loss = 0.595569
Epoch 5, 	Batch:7, 	Train Loss = 0.730572, 	Val Loss = 0.595569
Epoch 6, 	Batch:0, 	Train Loss = 0.588210, 	Val Loss = 0.659236
Epoch 6, 	Batch:1, 	Train Loss = 0.712859, 	Val Loss = 0.659236
Epoch 6, 	Batch:2, 	Train Loss = 0.784735, 	Val Loss = 0.659236
Epoch 6, 	Batch:3, 	Train Loss = 0.823328, 	Val Loss = 0.659236
Epoch 6, 	Batch:4, 	Train Loss = 0.760131, 	Val Loss = 0.659236
Epoch 6, 	Batch:5, 	Train Loss = 0.745060, 	Val Loss = 0.659236
Epoch 6, 	Batch:6, 	Train Loss = 0.696622, 	Val Loss = 0.659236
Epoch 6, 	Batch:7, 	Train Loss = 0.657248, 	Val Loss = 0.659236
Epoch 7, 	Batch:0, 	Train Loss = 0.543006, 	Val Loss = 0.409413
Epoch 7, 	Batch:1, 	Train Loss = 0.677764, 	Val Loss = 0.409413
Epoch 7, 	Batch:2, 	Train Loss = 0.813111, 	Val Loss = 0.409413
Epoch 7, 	Batch:3, 	Train Loss = 0.788407, 	Val Loss = 0.409413
Epoch 7, 	Batch:4, 	Train Loss = 0.734748, 	Val Loss = 0.409413
Epoch 7, 	Batch:5, 	Train Loss = 0.724627, 	Val Loss = 0.409413
Epoch 7, 	Batch:6, 	Train Loss = 0.687484, 	Val Loss = 0.409413
Epoch 7, 	Batch:7, 	Train Loss = 0.661723, 	Val Loss = 0.409413
Epoch 8, 	Batch:0, 	Train Loss = 0.579283, 	Val Loss = 0.533594
Epoch 8, 	Batch:1, 	Train Loss = 0.665147, 	Val Loss = 0.533594
Epoch 8, 	Batch:2, 	Train Loss = 0.713777, 	Val Loss = 0.533594
Epoch 8, 	Batch:3, 	Train Loss = 0.715054, 	Val Loss = 0.533594
Epoch 8, 	Batch:4, 	Train Loss = 0.687407, 	Val Loss = 0.533594
Epoch 8, 	Batch:5, 	Train Loss = 0.674301, 	Val Loss = 0.533594
Epoch 8, 	Batch:6, 	Train Loss = 0.645488, 	Val Loss = 0.533594
Epoch 8, 	Batch:7, 	Train Loss = 0.607303, 	Val Loss = 0.533594
Epoch 9, 	Batch:0, 	Train Loss = 0.465935, 	Val Loss = 0.501627
Epoch 9, 	Batch:1, 	Train Loss = 0.613881, 	Val Loss = 0.501627
Epoch 9, 	Batch:2, 	Train Loss = 0.687683, 	Val Loss = 0.501627
Epoch 9, 	Batch:3, 	Train Loss = 0.672154, 	Val Loss = 0.501627
Epoch 9, 	Batch:4, 	Train Loss = 0.624370, 	Val Loss = 0.501627
Epoch 9, 	Batch:5, 	Train Loss = 0.613650, 	Val Loss = 0.501627
Epoch 9, 	Batch:6, 	Train Loss = 0.572151, 	Val Loss = 0.501627
Epoch 9, 	Batch:7, 	Train Loss = 0.554022, 	Val Loss = 0.501627
