Job runs on node:
lrdn4992
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=5
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 0.512258, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 0.420993, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 0.378481, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 0.380849, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 0.408348, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 0.408189, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 0.399356, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 0.383848, 	Val Loss = 0.000000
Epoch 1, 	Batch:8, 	Train Loss = 0.388019, 	Val Loss = 0.000000
Epoch 1, 	Batch:9, 	Train Loss = 0.382409, 	Val Loss = 0.000000
Epoch 1, 	Batch:10, 	Train Loss = 0.381691, 	Val Loss = 0.000000
Epoch 1, 	Batch:11, 	Train Loss = 0.382065, 	Val Loss = 0.000000
Epoch 1, 	Batch:12, 	Train Loss = 0.370386, 	Val Loss = 0.000000
Epoch 1, 	Batch:13, 	Train Loss = 0.363736, 	Val Loss = 0.000000
Epoch 1, 	Batch:14, 	Train Loss = 0.358814, 	Val Loss = 0.000000
Epoch 1, 	Batch:15, 	Train Loss = 0.348676, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.150399, 	Val Loss = 0.180857
Epoch 2, 	Batch:1, 	Train Loss = 0.140592, 	Val Loss = 0.180857
Epoch 2, 	Batch:2, 	Train Loss = 0.147975, 	Val Loss = 0.180857
Epoch 2, 	Batch:3, 	Train Loss = 0.154164, 	Val Loss = 0.180857
Epoch 2, 	Batch:4, 	Train Loss = 0.156856, 	Val Loss = 0.180857
Epoch 2, 	Batch:5, 	Train Loss = 0.152031, 	Val Loss = 0.180857
Epoch 2, 	Batch:6, 	Train Loss = 0.154273, 	Val Loss = 0.180857
Epoch 2, 	Batch:7, 	Train Loss = 0.162714, 	Val Loss = 0.180857
Epoch 2, 	Batch:8, 	Train Loss = 0.165384, 	Val Loss = 0.180857
Epoch 2, 	Batch:9, 	Train Loss = 0.158590, 	Val Loss = 0.180857
Epoch 2, 	Batch:10, 	Train Loss = 0.160823, 	Val Loss = 0.180857
Epoch 2, 	Batch:11, 	Train Loss = 0.159328, 	Val Loss = 0.180857
Epoch 2, 	Batch:12, 	Train Loss = 0.155129, 	Val Loss = 0.180857
Epoch 2, 	Batch:13, 	Train Loss = 0.152761, 	Val Loss = 0.180857
Epoch 2, 	Batch:14, 	Train Loss = 0.153843, 	Val Loss = 0.180857
Epoch 2, 	Batch:15, 	Train Loss = 0.156316, 	Val Loss = 0.180857
Epoch 3, 	Batch:0, 	Train Loss = 0.124400, 	Val Loss = 0.154244
Epoch 3, 	Batch:1, 	Train Loss = 0.135830, 	Val Loss = 0.154244
Epoch 3, 	Batch:2, 	Train Loss = 0.124834, 	Val Loss = 0.154244
Epoch 3, 	Batch:3, 	Train Loss = 0.124886, 	Val Loss = 0.154244
Epoch 3, 	Batch:4, 	Train Loss = 0.125864, 	Val Loss = 0.154244
Epoch 3, 	Batch:5, 	Train Loss = 0.122235, 	Val Loss = 0.154244
Epoch 3, 	Batch:6, 	Train Loss = 0.121437, 	Val Loss = 0.154244
Epoch 3, 	Batch:7, 	Train Loss = 0.124411, 	Val Loss = 0.154244
Epoch 3, 	Batch:8, 	Train Loss = 0.128293, 	Val Loss = 0.154244
Epoch 3, 	Batch:9, 	Train Loss = 0.125485, 	Val Loss = 0.154244
Epoch 3, 	Batch:10, 	Train Loss = 0.124333, 	Val Loss = 0.154244
Epoch 3, 	Batch:11, 	Train Loss = 0.125425, 	Val Loss = 0.154244
Epoch 3, 	Batch:12, 	Train Loss = 0.125677, 	Val Loss = 0.154244
Epoch 3, 	Batch:13, 	Train Loss = 0.121663, 	Val Loss = 0.154244
Epoch 3, 	Batch:14, 	Train Loss = 0.119465, 	Val Loss = 0.154244
Epoch 3, 	Batch:15, 	Train Loss = 0.118636, 	Val Loss = 0.154244
Epoch 4, 	Batch:0, 	Train Loss = 0.069249, 	Val Loss = 0.080091
Epoch 4, 	Batch:1, 	Train Loss = 0.080058, 	Val Loss = 0.080091
Epoch 4, 	Batch:2, 	Train Loss = 0.086950, 	Val Loss = 0.080091
Epoch 4, 	Batch:3, 	Train Loss = 0.078775, 	Val Loss = 0.080091
Epoch 4, 	Batch:4, 	Train Loss = 0.091564, 	Val Loss = 0.080091
Epoch 4, 	Batch:5, 	Train Loss = 0.100928, 	Val Loss = 0.080091
Epoch 4, 	Batch:6, 	Train Loss = 0.102439, 	Val Loss = 0.080091
Epoch 4, 	Batch:7, 	Train Loss = 0.101475, 	Val Loss = 0.080091
Epoch 4, 	Batch:8, 	Train Loss = 0.105159, 	Val Loss = 0.080091
Epoch 4, 	Batch:9, 	Train Loss = 0.111792, 	Val Loss = 0.080091
Epoch 4, 	Batch:10, 	Train Loss = 0.121750, 	Val Loss = 0.080091
Epoch 4, 	Batch:11, 	Train Loss = 0.125526, 	Val Loss = 0.080091
Epoch 4, 	Batch:12, 	Train Loss = 0.125089, 	Val Loss = 0.080091
Epoch 4, 	Batch:13, 	Train Loss = 0.123975, 	Val Loss = 0.080091
Epoch 4, 	Batch:14, 	Train Loss = 0.121988, 	Val Loss = 0.080091
Epoch 4, 	Batch:15, 	Train Loss = 0.121201, 	Val Loss = 0.080091
Epoch 5, 	Batch:0, 	Train Loss = 0.069077, 	Val Loss = 0.083708
Epoch 5, 	Batch:1, 	Train Loss = 0.097390, 	Val Loss = 0.083708
Epoch 5, 	Batch:2, 	Train Loss = 0.105351, 	Val Loss = 0.083708
Epoch 5, 	Batch:3, 	Train Loss = 0.097538, 	Val Loss = 0.083708
Epoch 5, 	Batch:4, 	Train Loss = 0.106685, 	Val Loss = 0.083708
Epoch 5, 	Batch:5, 	Train Loss = 0.102960, 	Val Loss = 0.083708
Epoch 5, 	Batch:6, 	Train Loss = 0.098841, 	Val Loss = 0.083708
Epoch 5, 	Batch:7, 	Train Loss = 0.101078, 	Val Loss = 0.083708
Epoch 5, 	Batch:8, 	Train Loss = 0.100198, 	Val Loss = 0.083708
Epoch 5, 	Batch:9, 	Train Loss = 0.098026, 	Val Loss = 0.083708
Epoch 5, 	Batch:10, 	Train Loss = 0.099710, 	Val Loss = 0.083708
Epoch 5, 	Batch:11, 	Train Loss = 0.101595, 	Val Loss = 0.083708
Epoch 5, 	Batch:12, 	Train Loss = 0.103356, 	Val Loss = 0.083708
Epoch 5, 	Batch:13, 	Train Loss = 0.102714, 	Val Loss = 0.083708
Epoch 5, 	Batch:14, 	Train Loss = 0.102108, 	Val Loss = 0.083708
Epoch 5, 	Batch:15, 	Train Loss = 0.102789, 	Val Loss = 0.083708
Epoch 6, 	Batch:0, 	Train Loss = 0.084289, 	Val Loss = 0.091001
Epoch 6, 	Batch:1, 	Train Loss = 0.073534, 	Val Loss = 0.091001
Epoch 6, 	Batch:2, 	Train Loss = 0.079483, 	Val Loss = 0.091001
Epoch 6, 	Batch:3, 	Train Loss = 0.086005, 	Val Loss = 0.091001
Epoch 6, 	Batch:4, 	Train Loss = 0.086142, 	Val Loss = 0.091001
Epoch 6, 	Batch:5, 	Train Loss = 0.088835, 	Val Loss = 0.091001
Epoch 6, 	Batch:6, 	Train Loss = 0.090205, 	Val Loss = 0.091001
Epoch 6, 	Batch:7, 	Train Loss = 0.094432, 	Val Loss = 0.091001
Epoch 6, 	Batch:8, 	Train Loss = 0.095537, 	Val Loss = 0.091001
Epoch 6, 	Batch:9, 	Train Loss = 0.095244, 	Val Loss = 0.091001
Epoch 6, 	Batch:10, 	Train Loss = 0.095743, 	Val Loss = 0.091001
Epoch 6, 	Batch:11, 	Train Loss = 0.095133, 	Val Loss = 0.091001
Epoch 6, 	Batch:12, 	Train Loss = 0.091929, 	Val Loss = 0.091001
Epoch 6, 	Batch:13, 	Train Loss = 0.091649, 	Val Loss = 0.091001
Epoch 6, 	Batch:14, 	Train Loss = 0.091591, 	Val Loss = 0.091001
Epoch 6, 	Batch:15, 	Train Loss = 0.090258, 	Val Loss = 0.091001
Epoch 7, 	Batch:0, 	Train Loss = 0.047991, 	Val Loss = 0.059546
Epoch 7, 	Batch:1, 	Train Loss = 0.075581, 	Val Loss = 0.059546
Epoch 7, 	Batch:2, 	Train Loss = 0.079556, 	Val Loss = 0.059546
Epoch 7, 	Batch:3, 	Train Loss = 0.076264, 	Val Loss = 0.059546
Epoch 7, 	Batch:4, 	Train Loss = 0.089913, 	Val Loss = 0.059546
Epoch 7, 	Batch:5, 	Train Loss = 0.088490, 	Val Loss = 0.059546
Epoch 7, 	Batch:6, 	Train Loss = 0.085417, 	Val Loss = 0.059546
Epoch 7, 	Batch:7, 	Train Loss = 0.087076, 	Val Loss = 0.059546
Epoch 7, 	Batch:8, 	Train Loss = 0.087869, 	Val Loss = 0.059546
Epoch 7, 	Batch:9, 	Train Loss = 0.085139, 	Val Loss = 0.059546
Epoch 7, 	Batch:10, 	Train Loss = 0.088674, 	Val Loss = 0.059546
Epoch 7, 	Batch:11, 	Train Loss = 0.090327, 	Val Loss = 0.059546
Epoch 7, 	Batch:12, 	Train Loss = 0.091133, 	Val Loss = 0.059546
Epoch 7, 	Batch:13, 	Train Loss = 0.090565, 	Val Loss = 0.059546
Epoch 7, 	Batch:14, 	Train Loss = 0.091015, 	Val Loss = 0.059546
Epoch 7, 	Batch:15, 	Train Loss = 0.090292, 	Val Loss = 0.059546
Epoch 8, 	Batch:0, 	Train Loss = 0.039914, 	Val Loss = 0.056426
Epoch 8, 	Batch:1, 	Train Loss = 0.046950, 	Val Loss = 0.056426
Epoch 8, 	Batch:2, 	Train Loss = 0.059321, 	Val Loss = 0.056426
Epoch 8, 	Batch:3, 	Train Loss = 0.077625, 	Val Loss = 0.056426
Epoch 8, 	Batch:4, 	Train Loss = 0.083094, 	Val Loss = 0.056426
Epoch 8, 	Batch:5, 	Train Loss = 0.080686, 	Val Loss = 0.056426
Epoch 8, 	Batch:6, 	Train Loss = 0.087783, 	Val Loss = 0.056426
Epoch 8, 	Batch:7, 	Train Loss = 0.097972, 	Val Loss = 0.056426
Epoch 8, 	Batch:8, 	Train Loss = 0.104487, 	Val Loss = 0.056426
Epoch 8, 	Batch:9, 	Train Loss = 0.105174, 	Val Loss = 0.056426
Epoch 8, 	Batch:10, 	Train Loss = 0.107931, 	Val Loss = 0.056426
Epoch 8, 	Batch:11, 	Train Loss = 0.109067, 	Val Loss = 0.056426
Epoch 8, 	Batch:12, 	Train Loss = 0.110995, 	Val Loss = 0.056426
Epoch 8, 	Batch:13, 	Train Loss = 0.111536, 	Val Loss = 0.056426
Epoch 8, 	Batch:14, 	Train Loss = 0.111664, 	Val Loss = 0.056426
Epoch 8, 	Batch:15, 	Train Loss = 0.112743, 	Val Loss = 0.056426
Epoch 9, 	Batch:0, 	Train Loss = 0.096659, 	Val Loss = 0.110687
Epoch 9, 	Batch:1, 	Train Loss = 0.119489, 	Val Loss = 0.110687
