Job runs on node:
lrdn4990
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=5
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 0.962846, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 0.887016, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 0.781710, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 0.662323, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 0.598706, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 0.546617, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 0.522019, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 0.500484, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.357557, 	Val Loss = 0.414537
Epoch 2, 	Batch:1, 	Train Loss = 0.416626, 	Val Loss = 0.414537
Epoch 2, 	Batch:2, 	Train Loss = 0.364270, 	Val Loss = 0.414537
Epoch 2, 	Batch:3, 	Train Loss = 0.307406, 	Val Loss = 0.414537
Epoch 2, 	Batch:4, 	Train Loss = 0.282684, 	Val Loss = 0.414537
Epoch 2, 	Batch:5, 	Train Loss = 0.258722, 	Val Loss = 0.414537
Epoch 2, 	Batch:6, 	Train Loss = 0.267395, 	Val Loss = 0.414537
Epoch 2, 	Batch:7, 	Train Loss = 0.272024, 	Val Loss = 0.414537
Epoch 3, 	Batch:0, 	Train Loss = 0.292503, 	Val Loss = 0.352585
Epoch 3, 	Batch:1, 	Train Loss = 0.345568, 	Val Loss = 0.352585
Epoch 3, 	Batch:2, 	Train Loss = 0.298457, 	Val Loss = 0.352585
Epoch 3, 	Batch:3, 	Train Loss = 0.251363, 	Val Loss = 0.352585
Epoch 3, 	Batch:4, 	Train Loss = 0.236033, 	Val Loss = 0.352585
Epoch 3, 	Batch:5, 	Train Loss = 0.215801, 	Val Loss = 0.352585
Epoch 3, 	Batch:6, 	Train Loss = 0.226755, 	Val Loss = 0.352585
Epoch 3, 	Batch:7, 	Train Loss = 0.232927, 	Val Loss = 0.352585
Epoch 4, 	Batch:0, 	Train Loss = 0.284690, 	Val Loss = 0.343366
Epoch 4, 	Batch:1, 	Train Loss = 0.343998, 	Val Loss = 0.343366
Epoch 4, 	Batch:2, 	Train Loss = 0.295884, 	Val Loss = 0.343366
Epoch 4, 	Batch:3, 	Train Loss = 0.243711, 	Val Loss = 0.343366
Epoch 4, 	Batch:4, 	Train Loss = 0.228396, 	Val Loss = 0.343366
Epoch 4, 	Batch:5, 	Train Loss = 0.209383, 	Val Loss = 0.343366
Epoch 4, 	Batch:6, 	Train Loss = 0.221513, 	Val Loss = 0.343366
Epoch 4, 	Batch:7, 	Train Loss = 0.228233, 	Val Loss = 0.343366
Epoch 5, 	Batch:0, 	Train Loss = 0.280932, 	Val Loss = 0.340141
Epoch 5, 	Batch:1, 	Train Loss = 0.337490, 	Val Loss = 0.340141
Epoch 5, 	Batch:2, 	Train Loss = 0.289883, 	Val Loss = 0.340141
Epoch 5, 	Batch:3, 	Train Loss = 0.240174, 	Val Loss = 0.340141
Epoch 5, 	Batch:4, 	Train Loss = 0.225643, 	Val Loss = 0.340141
Epoch 5, 	Batch:5, 	Train Loss = 0.206754, 	Val Loss = 0.340141
Epoch 5, 	Batch:6, 	Train Loss = 0.218906, 	Val Loss = 0.340141
Epoch 5, 	Batch:7, 	Train Loss = 0.225874, 	Val Loss = 0.340141
Epoch 6, 	Batch:0, 	Train Loss = 0.278661, 	Val Loss = 0.338567
Epoch 6, 	Batch:1, 	Train Loss = 0.336631, 	Val Loss = 0.338567
Epoch 6, 	Batch:2, 	Train Loss = 0.288103, 	Val Loss = 0.338567
Epoch 6, 	Batch:3, 	Train Loss = 0.236509, 	Val Loss = 0.338567
Epoch 6, 	Batch:4, 	Train Loss = 0.220795, 	Val Loss = 0.338567
Epoch 6, 	Batch:5, 	Train Loss = 0.201956, 	Val Loss = 0.338567
Epoch 6, 	Batch:6, 	Train Loss = 0.214085, 	Val Loss = 0.338567
Epoch 6, 	Batch:7, 	Train Loss = 0.220598, 	Val Loss = 0.338567
Epoch 7, 	Batch:0, 	Train Loss = 0.264924, 	Val Loss = 0.325346
Epoch 7, 	Batch:1, 	Train Loss = 0.322918, 	Val Loss = 0.325346
Epoch 7, 	Batch:2, 	Train Loss = 0.279092, 	Val Loss = 0.325346
Epoch 7, 	Batch:3, 	Train Loss = 0.229241, 	Val Loss = 0.325346
Epoch 7, 	Batch:4, 	Train Loss = 0.213142, 	Val Loss = 0.325346
Epoch 7, 	Batch:5, 	Train Loss = 0.194507, 	Val Loss = 0.325346
