Job runs on node:
lrdn4989
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=6
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 0.992887, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 0.955818, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 0.913366, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 0.890757, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 0.862617, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 0.828420, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 0.779300, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 0.756374, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.447290, 	Val Loss = 0.498162
Epoch 2, 	Batch:1, 	Train Loss = 0.427325, 	Val Loss = 0.498162
Epoch 2, 	Batch:2, 	Train Loss = 0.372172, 	Val Loss = 0.498162
Epoch 2, 	Batch:3, 	Train Loss = 0.380488, 	Val Loss = 0.498162
Epoch 2, 	Batch:4, 	Train Loss = 0.380677, 	Val Loss = 0.498162
Epoch 2, 	Batch:5, 	Train Loss = 0.364827, 	Val Loss = 0.498162
Epoch 2, 	Batch:6, 	Train Loss = 0.328815, 	Val Loss = 0.498162
Epoch 2, 	Batch:7, 	Train Loss = 0.330944, 	Val Loss = 0.498162
Epoch 3, 	Batch:0, 	Train Loss = 0.236181, 	Val Loss = 0.303975
Epoch 3, 	Batch:1, 	Train Loss = 0.246854, 	Val Loss = 0.303975
Epoch 3, 	Batch:2, 	Train Loss = 0.222159, 	Val Loss = 0.303975
Epoch 3, 	Batch:3, 	Train Loss = 0.257577, 	Val Loss = 0.303975
Epoch 3, 	Batch:4, 	Train Loss = 0.277492, 	Val Loss = 0.303975
Epoch 3, 	Batch:5, 	Train Loss = 0.273985, 	Val Loss = 0.303975
Epoch 3, 	Batch:6, 	Train Loss = 0.244698, 	Val Loss = 0.303975
Epoch 3, 	Batch:7, 	Train Loss = 0.255745, 	Val Loss = 0.303975
Epoch 4, 	Batch:0, 	Train Loss = 0.218541, 	Val Loss = 0.289926
Epoch 4, 	Batch:1, 	Train Loss = 0.235944, 	Val Loss = 0.289926
Epoch 4, 	Batch:2, 	Train Loss = 0.214527, 	Val Loss = 0.289926
Epoch 4, 	Batch:3, 	Train Loss = 0.249074, 	Val Loss = 0.289926
Epoch 4, 	Batch:4, 	Train Loss = 0.267066, 	Val Loss = 0.289926
Epoch 4, 	Batch:5, 	Train Loss = 0.262992, 	Val Loss = 0.289926
Epoch 4, 	Batch:6, 	Train Loss = 0.237358, 	Val Loss = 0.289926
Epoch 4, 	Batch:7, 	Train Loss = 0.246748, 	Val Loss = 0.289926
Epoch 5, 	Batch:0, 	Train Loss = 0.204103, 	Val Loss = 0.274191
Epoch 5, 	Batch:1, 	Train Loss = 0.218821, 	Val Loss = 0.274191
Epoch 5, 	Batch:2, 	Train Loss = 0.197291, 	Val Loss = 0.274191
Epoch 5, 	Batch:3, 	Train Loss = 0.232778, 	Val Loss = 0.274191
Epoch 5, 	Batch:4, 	Train Loss = 0.251101, 	Val Loss = 0.274191
Epoch 5, 	Batch:5, 	Train Loss = 0.247103, 	Val Loss = 0.274191
Epoch 5, 	Batch:6, 	Train Loss = 0.218801, 	Val Loss = 0.274191
Epoch 5, 	Batch:7, 	Train Loss = 0.228085, 	Val Loss = 0.274191
Epoch 6, 	Batch:0, 	Train Loss = 0.196883, 	Val Loss = 0.265278
Epoch 6, 	Batch:1, 	Train Loss = 0.209659, 	Val Loss = 0.265278
Epoch 6, 	Batch:2, 	Train Loss = 0.187686, 	Val Loss = 0.265278
Epoch 6, 	Batch:3, 	Train Loss = 0.220346, 	Val Loss = 0.265278
Epoch 6, 	Batch:4, 	Train Loss = 0.238842, 	Val Loss = 0.265278
Epoch 6, 	Batch:5, 	Train Loss = 0.235898, 	Val Loss = 0.265278
Epoch 6, 	Batch:6, 	Train Loss = 0.209660, 	Val Loss = 0.265278
Epoch 6, 	Batch:7, 	Train Loss = 0.220026, 	Val Loss = 0.265278
Epoch 7, 	Batch:0, 	Train Loss = 0.186600, 	Val Loss = 0.256505
Epoch 7, 	Batch:1, 	Train Loss = 0.202330, 	Val Loss = 0.256505
Epoch 7, 	Batch:2, 	Train Loss = 0.181842, 	Val Loss = 0.256505
Epoch 7, 	Batch:3, 	Train Loss = 0.214323, 	Val Loss = 0.256505
Epoch 7, 	Batch:4, 	Train Loss = 0.231736, 	Val Loss = 0.256505
Epoch 7, 	Batch:5, 	Train Loss = 0.228964, 	Val Loss = 0.256505
Epoch 7, 	Batch:6, 	Train Loss = 0.204996, 	Val Loss = 0.256505
Epoch 7, 	Batch:7, 	Train Loss = 0.213856, 	Val Loss = 0.256505
Epoch 8, 	Batch:0, 	Train Loss = 0.183530, 	Val Loss = 0.251828
Epoch 8, 	Batch:1, 	Train Loss = 0.196474, 	Val Loss = 0.251828
Epoch 8, 	Batch:2, 	Train Loss = 0.175937, 	Val Loss = 0.251828
Epoch 8, 	Batch:3, 	Train Loss = 0.206996, 	Val Loss = 0.251828
Epoch 8, 	Batch:4, 	Train Loss = 0.224096, 	Val Loss = 0.251828
Epoch 8, 	Batch:5, 	Train Loss = 0.221352, 	Val Loss = 0.251828
Epoch 8, 	Batch:6, 	Train Loss = 0.199057, 	Val Loss = 0.251828
Epoch 8, 	Batch:7, 	Train Loss = 0.207266, 	Val Loss = 0.251828
Epoch 9, 	Batch:0, 	Train Loss = 0.182252, 	Val Loss = 0.249667
Epoch 9, 	Batch:1, 	Train Loss = 0.192488, 	Val Loss = 0.249667
Epoch 9, 	Batch:2, 	Train Loss = 0.170713, 	Val Loss = 0.249667
Epoch 9, 	Batch:3, 	Train Loss = 0.202097, 	Val Loss = 0.249667
Epoch 9, 	Batch:4, 	Train Loss = 0.219388, 	Val Loss = 0.249667
Epoch 9, 	Batch:5, 	Train Loss = 0.217011, 	Val Loss = 0.249667
Epoch 9, 	Batch:6, 	Train Loss = 0.194482, 	Val Loss = 0.249667
Epoch 9, 	Batch:7, 	Train Loss = 0.203478, 	Val Loss = 0.249667
Epoch 10, 	Batch:0, 	Train Loss = 0.175844, 	Val Loss = 0.244037
Epoch 10, 	Batch:1, 	Train Loss = 0.189712, 	Val Loss = 0.244037
Epoch 10, 	Batch:2, 	Train Loss = 0.169461, 	Val Loss = 0.244037
Epoch 10, 	Batch:3, 	Train Loss = 0.200121, 	Val Loss = 0.244037
Epoch 10, 	Batch:4, 	Train Loss = 0.216526, 	Val Loss = 0.244037
Epoch 10, 	Batch:5, 	Train Loss = 0.214454, 	Val Loss = 0.244037
Epoch 10, 	Batch:6, 	Train Loss = 0.193384, 	Val Loss = 0.244037
Epoch 10, 	Batch:7, 	Train Loss = 0.201332, 	Val Loss = 0.244037
Epoch 11, 	Batch:0, 	Train Loss = 0.171145, 	Val Loss = 0.238125
Epoch 11, 	Batch:1, 	Train Loss = 0.184485, 	Val Loss = 0.238125
Epoch 11, 	Batch:2, 	Train Loss = 0.166090, 	Val Loss = 0.238125
Epoch 11, 	Batch:3, 	Train Loss = 0.198401, 	Val Loss = 0.238125
