Job runs on node:
lrdn4992
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=2
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 2.370765, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 2.112858, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 1.913467, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 1.726891, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 1.623294, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 1.528347, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 1.417101, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 1.331365, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.692968, 	Val Loss = 0.699830
Epoch 2, 	Batch:1, 	Train Loss = 0.626379, 	Val Loss = 0.699830
Epoch 2, 	Batch:2, 	Train Loss = 0.569595, 	Val Loss = 0.699830
Epoch 2, 	Batch:3, 	Train Loss = 0.537831, 	Val Loss = 0.699830
Epoch 2, 	Batch:4, 	Train Loss = 0.539765, 	Val Loss = 0.699830
Epoch 2, 	Batch:5, 	Train Loss = 0.523154, 	Val Loss = 0.699830
Epoch 2, 	Batch:6, 	Train Loss = 0.493398, 	Val Loss = 0.699830
Epoch 2, 	Batch:7, 	Train Loss = 0.476429, 	Val Loss = 0.699830
Epoch 3, 	Batch:0, 	Train Loss = 0.370238, 	Val Loss = 0.391295
Epoch 3, 	Batch:1, 	Train Loss = 0.347803, 	Val Loss = 0.391295
Epoch 3, 	Batch:2, 	Train Loss = 0.320235, 	Val Loss = 0.391295
Epoch 3, 	Batch:3, 	Train Loss = 0.334761, 	Val Loss = 0.391295
Epoch 3, 	Batch:4, 	Train Loss = 0.362774, 	Val Loss = 0.391295
Epoch 3, 	Batch:5, 	Train Loss = 0.361209, 	Val Loss = 0.391295
Epoch 3, 	Batch:6, 	Train Loss = 0.356014, 	Val Loss = 0.391295
Epoch 3, 	Batch:7, 	Train Loss = 0.358029, 	Val Loss = 0.391295
Epoch 4, 	Batch:0, 	Train Loss = 0.360488, 	Val Loss = 0.376530
Epoch 4, 	Batch:1, 	Train Loss = 0.356567, 	Val Loss = 0.376530
Epoch 4, 	Batch:2, 	Train Loss = 0.323348, 	Val Loss = 0.376530
Epoch 4, 	Batch:3, 	Train Loss = 0.306100, 	Val Loss = 0.376530
Epoch 4, 	Batch:4, 	Train Loss = 0.312574, 	Val Loss = 0.376530
Epoch 4, 	Batch:5, 	Train Loss = 0.301533, 	Val Loss = 0.376530
Epoch 4, 	Batch:6, 	Train Loss = 0.282849, 	Val Loss = 0.376530
Epoch 4, 	Batch:7, 	Train Loss = 0.273690, 	Val Loss = 0.376530
Epoch 5, 	Batch:0, 	Train Loss = 0.306117, 	Val Loss = 0.322344
Epoch 5, 	Batch:1, 	Train Loss = 0.274434, 	Val Loss = 0.322344
Epoch 5, 	Batch:2, 	Train Loss = 0.255743, 	Val Loss = 0.322344
Epoch 5, 	Batch:3, 	Train Loss = 0.250199, 	Val Loss = 0.322344
Epoch 5, 	Batch:4, 	Train Loss = 0.264215, 	Val Loss = 0.322344
Epoch 5, 	Batch:5, 	Train Loss = 0.277388, 	Val Loss = 0.322344
Epoch 5, 	Batch:6, 	Train Loss = 0.286055, 	Val Loss = 0.322344
Epoch 5, 	Batch:7, 	Train Loss = 0.283629, 	Val Loss = 0.322344
Epoch 6, 	Batch:0, 	Train Loss = 0.273909, 	Val Loss = 0.277350
Epoch 6, 	Batch:1, 	Train Loss = 0.272574, 	Val Loss = 0.277350
Epoch 6, 	Batch:2, 	Train Loss = 0.261969, 	Val Loss = 0.277350
Epoch 6, 	Batch:3, 	Train Loss = 0.246068, 	Val Loss = 0.277350
Epoch 6, 	Batch:4, 	Train Loss = 0.244801, 	Val Loss = 0.277350
Epoch 6, 	Batch:5, 	Train Loss = 0.237611, 	Val Loss = 0.277350
Epoch 6, 	Batch:6, 	Train Loss = 0.234773, 	Val Loss = 0.277350
Epoch 6, 	Batch:7, 	Train Loss = 0.236197, 	Val Loss = 0.277350
Epoch 7, 	Batch:0, 	Train Loss = 0.200123, 	Val Loss = 0.202423
Epoch 7, 	Batch:1, 	Train Loss = 0.172940, 	Val Loss = 0.202423
Epoch 7, 	Batch:2, 	Train Loss = 0.169413, 	Val Loss = 0.202423
Epoch 7, 	Batch:3, 	Train Loss = 0.171937, 	Val Loss = 0.202423
Epoch 7, 	Batch:4, 	Train Loss = 0.193944, 	Val Loss = 0.202423
Epoch 7, 	Batch:5, 	Train Loss = 0.196765, 	Val Loss = 0.202423
Epoch 7, 	Batch:6, 	Train Loss = 0.193176, 	Val Loss = 0.202423
Epoch 7, 	Batch:7, 	Train Loss = 0.194191, 	Val Loss = 0.202423
Epoch 8, 	Batch:0, 	Train Loss = 0.206652, 	Val Loss = 0.227270
Epoch 8, 	Batch:1, 	Train Loss = 0.201630, 	Val Loss = 0.227270
Epoch 8, 	Batch:2, 	Train Loss = 0.192870, 	Val Loss = 0.227270
Epoch 8, 	Batch:3, 	Train Loss = 0.192361, 	Val Loss = 0.227270
Epoch 8, 	Batch:4, 	Train Loss = 0.220275, 	Val Loss = 0.227270
Epoch 8, 	Batch:5, 	Train Loss = 0.222100, 	Val Loss = 0.227270
Epoch 8, 	Batch:6, 	Train Loss = 0.229062, 	Val Loss = 0.227270
Epoch 8, 	Batch:7, 	Train Loss = 0.229262, 	Val Loss = 0.227270
Epoch 9, 	Batch:0, 	Train Loss = 0.174496, 	Val Loss = 0.176998
Epoch 9, 	Batch:1, 	Train Loss = 0.164754, 	Val Loss = 0.176998
Epoch 9, 	Batch:2, 	Train Loss = 0.160884, 	Val Loss = 0.176998
Epoch 9, 	Batch:3, 	Train Loss = 0.163222, 	Val Loss = 0.176998
Epoch 9, 	Batch:4, 	Train Loss = 0.176181, 	Val Loss = 0.176998
Epoch 9, 	Batch:5, 	Train Loss = 0.172521, 	Val Loss = 0.176998
Epoch 9, 	Batch:6, 	Train Loss = 0.166497, 	Val Loss = 0.176998
Epoch 9, 	Batch:7, 	Train Loss = 0.164107, 	Val Loss = 0.176998
