Job runs on node:
lrdn4987
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=3
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 2.104548, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 1.978648, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 1.953652, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 1.873759, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 1.790964, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 1.723621, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 1.640886, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 1.585950, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.754970, 	Val Loss = 0.814060
Epoch 2, 	Batch:1, 	Train Loss = 0.615161, 	Val Loss = 0.814060
Epoch 2, 	Batch:2, 	Train Loss = 0.702882, 	Val Loss = 0.814060
Epoch 2, 	Batch:3, 	Train Loss = 0.717787, 	Val Loss = 0.814060
Epoch 2, 	Batch:4, 	Train Loss = 0.714874, 	Val Loss = 0.814060
Epoch 2, 	Batch:5, 	Train Loss = 0.769124, 	Val Loss = 0.814060
Epoch 2, 	Batch:6, 	Train Loss = 0.770469, 	Val Loss = 0.814060
Epoch 2, 	Batch:7, 	Train Loss = 0.795121, 	Val Loss = 0.814060
Epoch 3, 	Batch:0, 	Train Loss = 0.817043, 	Val Loss = 0.872615
Epoch 3, 	Batch:1, 	Train Loss = 0.720152, 	Val Loss = 0.872615
Epoch 3, 	Batch:2, 	Train Loss = 0.751073, 	Val Loss = 0.872615
Epoch 3, 	Batch:3, 	Train Loss = 0.702997, 	Val Loss = 0.872615
Epoch 3, 	Batch:4, 	Train Loss = 0.631878, 	Val Loss = 0.872615
Epoch 3, 	Batch:5, 	Train Loss = 0.678211, 	Val Loss = 0.872615
Epoch 3, 	Batch:6, 	Train Loss = 0.695185, 	Val Loss = 0.872615
Epoch 3, 	Batch:7, 	Train Loss = 0.726942, 	Val Loss = 0.872615
Epoch 4, 	Batch:0, 	Train Loss = 0.617114, 	Val Loss = 0.673811
Epoch 4, 	Batch:1, 	Train Loss = 0.493161, 	Val Loss = 0.673811
Epoch 4, 	Batch:2, 	Train Loss = 0.541261, 	Val Loss = 0.673811
Epoch 4, 	Batch:3, 	Train Loss = 0.530702, 	Val Loss = 0.673811
Epoch 4, 	Batch:4, 	Train Loss = 0.488245, 	Val Loss = 0.673811
Epoch 4, 	Batch:5, 	Train Loss = 0.550402, 	Val Loss = 0.673811
Epoch 4, 	Batch:6, 	Train Loss = 0.573143, 	Val Loss = 0.673811
Epoch 4, 	Batch:7, 	Train Loss = 0.608858, 	Val Loss = 0.673811
Epoch 5, 	Batch:0, 	Train Loss = 0.553803, 	Val Loss = 0.606440
Epoch 5, 	Batch:1, 	Train Loss = 0.449137, 	Val Loss = 0.606440
