Job runs on node:
lrdn4989
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=2
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 0.729687, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 0.674415, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 0.599467, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 0.546222, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 0.493685, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 0.454733, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 0.412141, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 0.393340, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.097953, 	Val Loss = 0.128282
Epoch 2, 	Batch:1, 	Train Loss = 0.143840, 	Val Loss = 0.128282
Epoch 2, 	Batch:2, 	Train Loss = 0.134708, 	Val Loss = 0.128282
Epoch 2, 	Batch:3, 	Train Loss = 0.134691, 	Val Loss = 0.128282
Epoch 2, 	Batch:4, 	Train Loss = 0.134332, 	Val Loss = 0.128282
Epoch 2, 	Batch:5, 	Train Loss = 0.145187, 	Val Loss = 0.128282
Epoch 2, 	Batch:6, 	Train Loss = 0.141832, 	Val Loss = 0.128282
Epoch 2, 	Batch:7, 	Train Loss = 0.152743, 	Val Loss = 0.128282
Epoch 3, 	Batch:0, 	Train Loss = 0.060739, 	Val Loss = 0.096012
Epoch 3, 	Batch:1, 	Train Loss = 0.117314, 	Val Loss = 0.096012
Epoch 3, 	Batch:2, 	Train Loss = 0.107477, 	Val Loss = 0.096012
Epoch 3, 	Batch:3, 	Train Loss = 0.108070, 	Val Loss = 0.096012
Epoch 3, 	Batch:4, 	Train Loss = 0.106791, 	Val Loss = 0.096012
Epoch 3, 	Batch:5, 	Train Loss = 0.117766, 	Val Loss = 0.096012
Epoch 3, 	Batch:6, 	Train Loss = 0.113961, 	Val Loss = 0.096012
Epoch 3, 	Batch:7, 	Train Loss = 0.121366, 	Val Loss = 0.096012
Epoch 4, 	Batch:0, 	Train Loss = 0.059141, 	Val Loss = 0.077623
Epoch 4, 	Batch:1, 	Train Loss = 0.092071, 	Val Loss = 0.077623
Epoch 4, 	Batch:2, 	Train Loss = 0.089792, 	Val Loss = 0.077623
Epoch 4, 	Batch:3, 	Train Loss = 0.093146, 	Val Loss = 0.077623
Epoch 4, 	Batch:4, 	Train Loss = 0.093552, 	Val Loss = 0.077623
Epoch 4, 	Batch:5, 	Train Loss = 0.102541, 	Val Loss = 0.077623
Epoch 4, 	Batch:6, 	Train Loss = 0.100539, 	Val Loss = 0.077623
Epoch 4, 	Batch:7, 	Train Loss = 0.107093, 	Val Loss = 0.077623
Epoch 5, 	Batch:0, 	Train Loss = 0.054943, 	Val Loss = 0.071281
Epoch 5, 	Batch:1, 	Train Loss = 0.085643, 	Val Loss = 0.071281
