Job runs on node:
lrdn4988
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 1.342368, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 1.014683, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 0.825003, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 0.709234, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 0.639946, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 0.571620, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 0.512660, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 0.477940, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.230041, 	Val Loss = 0.233974
Epoch 2, 	Batch:1, 	Train Loss = 0.223986, 	Val Loss = 0.233974
Epoch 2, 	Batch:2, 	Train Loss = 0.207611, 	Val Loss = 0.233974
Epoch 2, 	Batch:3, 	Train Loss = 0.194457, 	Val Loss = 0.233974
Epoch 2, 	Batch:4, 	Train Loss = 0.179505, 	Val Loss = 0.233974
Epoch 2, 	Batch:5, 	Train Loss = 0.163949, 	Val Loss = 0.233974
Epoch 2, 	Batch:6, 	Train Loss = 0.157068, 	Val Loss = 0.233974
Epoch 2, 	Batch:7, 	Train Loss = 0.152050, 	Val Loss = 0.233974
Epoch 3, 	Batch:0, 	Train Loss = 0.087522, 	Val Loss = 0.115189
Epoch 3, 	Batch:1, 	Train Loss = 0.114286, 	Val Loss = 0.115189
Epoch 3, 	Batch:2, 	Train Loss = 0.113126, 	Val Loss = 0.115189
Epoch 3, 	Batch:3, 	Train Loss = 0.119281, 	Val Loss = 0.115189
Epoch 3, 	Batch:4, 	Train Loss = 0.115898, 	Val Loss = 0.115189
Epoch 3, 	Batch:5, 	Train Loss = 0.111757, 	Val Loss = 0.115189
Epoch 3, 	Batch:6, 	Train Loss = 0.106965, 	Val Loss = 0.115189
Epoch 3, 	Batch:7, 	Train Loss = 0.104290, 	Val Loss = 0.115189
Epoch 4, 	Batch:0, 	Train Loss = 0.102657, 	Val Loss = 0.111778
Epoch 4, 	Batch:1, 	Train Loss = 0.093949, 	Val Loss = 0.111778
Epoch 4, 	Batch:2, 	Train Loss = 0.088906, 	Val Loss = 0.111778
Epoch 4, 	Batch:3, 	Train Loss = 0.103295, 	Val Loss = 0.111778
Epoch 4, 	Batch:4, 	Train Loss = 0.109333, 	Val Loss = 0.111778
Epoch 4, 	Batch:5, 	Train Loss = 0.115256, 	Val Loss = 0.111778
Epoch 4, 	Batch:6, 	Train Loss = 0.119772, 	Val Loss = 0.111778
Epoch 4, 	Batch:7, 	Train Loss = 0.119112, 	Val Loss = 0.111778
Epoch 5, 	Batch:0, 	Train Loss = 0.071771, 	Val Loss = 0.093657
Epoch 5, 	Batch:1, 	Train Loss = 0.119554, 	Val Loss = 0.093657
