Job runs on node:
lrdn4989
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=3
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 1.987814, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 1.851569, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 1.720742, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 1.551766, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 1.461009, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 1.427068, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 1.359686, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 1.251724, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.792011, 	Val Loss = 1.115017
Epoch 2, 	Batch:1, 	Train Loss = 0.683467, 	Val Loss = 1.115017
Epoch 2, 	Batch:2, 	Train Loss = 0.687425, 	Val Loss = 1.115017
Epoch 2, 	Batch:3, 	Train Loss = 0.649808, 	Val Loss = 1.115017
Epoch 2, 	Batch:4, 	Train Loss = 0.650716, 	Val Loss = 1.115017
Epoch 2, 	Batch:5, 	Train Loss = 0.697641, 	Val Loss = 1.115017
Epoch 2, 	Batch:6, 	Train Loss = 0.707498, 	Val Loss = 1.115017
Epoch 2, 	Batch:7, 	Train Loss = 0.682713, 	Val Loss = 1.115017
Epoch 3, 	Batch:0, 	Train Loss = 0.654828, 	Val Loss = 0.982053
Epoch 3, 	Batch:1, 	Train Loss = 0.549624, 	Val Loss = 0.982053
Epoch 3, 	Batch:2, 	Train Loss = 0.602889, 	Val Loss = 0.982053
Epoch 3, 	Batch:3, 	Train Loss = 0.562175, 	Val Loss = 0.982053
Epoch 3, 	Batch:4, 	Train Loss = 0.584548, 	Val Loss = 0.982053
Epoch 3, 	Batch:5, 	Train Loss = 0.656882, 	Val Loss = 0.982053
Epoch 3, 	Batch:6, 	Train Loss = 0.672485, 	Val Loss = 0.982053
Epoch 3, 	Batch:7, 	Train Loss = 0.642997, 	Val Loss = 0.982053
Epoch 4, 	Batch:0, 	Train Loss = 0.705298, 	Val Loss = 1.070912
Epoch 4, 	Batch:1, 	Train Loss = 0.639205, 	Val Loss = 1.070912
Epoch 4, 	Batch:2, 	Train Loss = 0.631528, 	Val Loss = 1.070912
Epoch 4, 	Batch:3, 	Train Loss = 0.561671, 	Val Loss = 1.070912
Epoch 4, 	Batch:4, 	Train Loss = 0.568366, 	Val Loss = 1.070912
Epoch 4, 	Batch:5, 	Train Loss = 0.636087, 	Val Loss = 1.070912
Epoch 4, 	Batch:6, 	Train Loss = 0.641184, 	Val Loss = 1.070912
Epoch 4, 	Batch:7, 	Train Loss = 0.598576, 	Val Loss = 1.070912
Epoch 5, 	Batch:0, 	Train Loss = 0.535868, 	Val Loss = 0.920839
Epoch 5, 	Batch:1, 	Train Loss = 0.457213, 	Val Loss = 0.920839
Epoch 5, 	Batch:2, 	Train Loss = 0.479371, 	Val Loss = 0.920839
Epoch 5, 	Batch:3, 	Train Loss = 0.436969, 	Val Loss = 0.920839
Epoch 5, 	Batch:4, 	Train Loss = 0.455357, 	Val Loss = 0.920839
Epoch 5, 	Batch:5, 	Train Loss = 0.521491, 	Val Loss = 0.920839
Epoch 5, 	Batch:6, 	Train Loss = 0.531067, 	Val Loss = 0.920839
Epoch 5, 	Batch:7, 	Train Loss = 0.491523, 	Val Loss = 0.920839
Epoch 6, 	Batch:0, 	Train Loss = 0.439101, 	Val Loss = 0.789090
Epoch 6, 	Batch:1, 	Train Loss = 0.369357, 	Val Loss = 0.789090
Epoch 6, 	Batch:2, 	Train Loss = 0.401441, 	Val Loss = 0.789090
Epoch 6, 	Batch:3, 	Train Loss = 0.374416, 	Val Loss = 0.789090
Epoch 6, 	Batch:4, 	Train Loss = 0.399966, 	Val Loss = 0.789090
Epoch 6, 	Batch:5, 	Train Loss = 0.466400, 	Val Loss = 0.789090
Epoch 6, 	Batch:6, 	Train Loss = 0.479369, 	Val Loss = 0.789090
Epoch 6, 	Batch:7, 	Train Loss = 0.450322, 	Val Loss = 0.789090
Epoch 7, 	Batch:0, 	Train Loss = 0.419204, 	Val Loss = 0.764347
Epoch 7, 	Batch:1, 	Train Loss = 0.358597, 	Val Loss = 0.764347
Epoch 7, 	Batch:2, 	Train Loss = 0.392277, 	Val Loss = 0.764347
Epoch 7, 	Batch:3, 	Train Loss = 0.369266, 	Val Loss = 0.764347
Epoch 7, 	Batch:4, 	Train Loss = 0.394791, 	Val Loss = 0.764347
Epoch 7, 	Batch:5, 	Train Loss = 0.452204, 	Val Loss = 0.764347
Epoch 7, 	Batch:6, 	Train Loss = 0.463027, 	Val Loss = 0.764347
Epoch 7, 	Batch:7, 	Train Loss = 0.443020, 	Val Loss = 0.764347
Epoch 8, 	Batch:0, 	Train Loss = 0.478517, 	Val Loss = 0.778058
Epoch 8, 	Batch:1, 	Train Loss = 0.413639, 	Val Loss = 0.778058
