,vloss,tloss,fidelity,file,train_type,mq,data_idx,EM_dist
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,0,3.617162
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,4,3.5416472
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,8,3.238268
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,12,2.94278
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,16,2.627878
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,20,2.18894
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,24,1.6094948
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,28,1.1506667
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,32,0.8943559
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,36,0.8066781
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,40,0.79199994
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,44,0.7997632
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,48,0.8156653
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,52,0.8316182
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,56,0.8430511
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,60,0.8513522
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,64,0.85742736
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,68,0.86488587
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,72,0.875125
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,76,0.88350004
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,80,0.890405
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,84,0.8961365
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,88,0.90092295
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,92,0.9049398
0,0.46189182902871756,0.5325743012702462,,weights(8)(3)_3.npy,fi,3,96,0.90834665
