,vloss,tloss,EM_dist,file,train_type,mq,data_idx
0,0.21551984460161577,0.21035385922540928,1.3787405,weights(8)(5)_2.npy,em4,5,0
0,0.21551984460161577,0.21035385922540928,1.4654399,weights(8)(5)_2.npy,em4,5,4
0,0.21551984460161577,0.21035385922540928,1.4118663,weights(8)(5)_2.npy,em4,5,8
0,0.21551984460161577,0.21035385922540928,1.3553962,weights(8)(5)_2.npy,em4,5,12
0,0.21551984460161577,0.21035385922540928,1.2849846,weights(8)(5)_2.npy,em4,5,16
0,0.21551984460161577,0.21035385922540928,1.1708689,weights(8)(5)_2.npy,em4,5,20
0,0.21551984460161577,0.21035385922540928,0.9872526,weights(8)(5)_2.npy,em4,5,24
0,0.21551984460161577,0.21035385922540928,0.778057,weights(8)(5)_2.npy,em4,5,28
0,0.21551984460161577,0.21035385922540928,0.60926026,weights(8)(5)_2.npy,em4,5,32
0,0.21551984460161577,0.21035385922540928,0.49438742,weights(8)(5)_2.npy,em4,5,36
0,0.21551984460161577,0.21035385922540928,0.43245372,weights(8)(5)_2.npy,em4,5,40
0,0.21551984460161577,0.21035385922540928,0.39507833,weights(8)(5)_2.npy,em4,5,44
0,0.21551984460161577,0.21035385922540928,0.37052363,weights(8)(5)_2.npy,em4,5,48
0,0.21551984460161577,0.21035385922540928,0.35974264,weights(8)(5)_2.npy,em4,5,52
0,0.21551984460161577,0.21035385922540928,0.35245058,weights(8)(5)_2.npy,em4,5,56
0,0.21551984460161577,0.21035385922540928,0.3511286,weights(8)(5)_2.npy,em4,5,60
0,0.21551984460161577,0.21035385922540928,0.35550854,weights(8)(5)_2.npy,em4,5,64
0,0.21551984460161577,0.21035385922540928,0.36047488,weights(8)(5)_2.npy,em4,5,68
0,0.21551984460161577,0.21035385922540928,0.36497328,weights(8)(5)_2.npy,em4,5,72
0,0.21551984460161577,0.21035385922540928,0.36904684,weights(8)(5)_2.npy,em4,5,76
0,0.21551984460161577,0.21035385922540928,0.38227516,weights(8)(5)_2.npy,em4,5,80
0,0.21551984460161577,0.21035385922540928,0.39811745,weights(8)(5)_2.npy,em4,5,84
0,0.21551984460161577,0.21035385922540928,0.41251713,weights(8)(5)_2.npy,em4,5,88
0,0.21551984460161577,0.21035385922540928,0.42566454,weights(8)(5)_2.npy,em4,5,92
0,0.21551984460161577,0.21035385922540928,0.43771753,weights(8)(5)_2.npy,em4,5,96
