,vloss,tloss,EM_dist,file,train_type,mq,data_idx
0,0.1746298960698764,0.08776354632905738,7.8752866,weights(8)(5)_0.npy,em4,5,0
0,0.1746298960698764,0.08776354632905738,0.65184855,weights(8)(5)_0.npy,em4,5,4
0,0.1746298960698764,0.08776354632905738,0.5578001,weights(8)(5)_0.npy,em4,5,8
0,0.1746298960698764,0.08776354632905738,0.47269362,weights(8)(5)_0.npy,em4,5,12
0,0.1746298960698764,0.08776354632905738,0.38476768,weights(8)(5)_0.npy,em4,5,16
0,0.1746298960698764,0.08776354632905738,0.3389858,weights(8)(5)_0.npy,em4,5,20
0,0.1746298960698764,0.08776354632905738,0.30927712,weights(8)(5)_0.npy,em4,5,24
0,0.1746298960698764,0.08776354632905738,0.3015234,weights(8)(5)_0.npy,em4,5,28
0,0.1746298960698764,0.08776354632905738,0.31572437,weights(8)(5)_0.npy,em4,5,32
0,0.1746298960698764,0.08776354632905738,0.31971577,weights(8)(5)_0.npy,em4,5,36
0,0.1746298960698764,0.08776354632905738,0.31929523,weights(8)(5)_0.npy,em4,5,40
0,0.1746298960698764,0.08776354632905738,0.3189956,weights(8)(5)_0.npy,em4,5,44
0,0.1746298960698764,0.08776354632905738,0.31679177,weights(8)(5)_0.npy,em4,5,48
0,0.1746298960698764,0.08776354632905738,0.31368703,weights(8)(5)_0.npy,em4,5,52
0,0.1746298960698764,0.08776354632905738,0.31020012,weights(8)(5)_0.npy,em4,5,56
0,0.1746298960698764,0.08776354632905738,0.3212019,weights(8)(5)_0.npy,em4,5,60
0,0.1746298960698764,0.08776354632905738,0.33587533,weights(8)(5)_0.npy,em4,5,64
0,0.1746298960698764,0.08776354632905738,0.34873617,weights(8)(5)_0.npy,em4,5,68
0,0.1746298960698764,0.08776354632905738,0.3601088,weights(8)(5)_0.npy,em4,5,72
0,0.1746298960698764,0.08776354632905738,0.37024224,weights(8)(5)_0.npy,em4,5,76
0,0.1746298960698764,0.08776354632905738,0.37933153,weights(8)(5)_0.npy,em4,5,80
0,0.1746298960698764,0.08776354632905738,0.38753203,weights(8)(5)_0.npy,em4,5,84
0,0.1746298960698764,0.08776354632905738,0.3949692,weights(8)(5)_0.npy,em4,5,88
0,0.1746298960698764,0.08776354632905738,0.40174574,weights(8)(5)_0.npy,em4,5,92
0,0.1746298960698764,0.08776354632905738,0.4079464,weights(8)(5)_0.npy,em4,5,96
