,vloss,tloss,file,train_type,mq,data_idx,EM_dist
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,0,0.6884864
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,4,0.5639803
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,8,0.40047014
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,12,0.2733783
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,16,0.25002256
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,20,0.26627758
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,24,0.27702653
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,28,0.27717632
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,32,0.25371513
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,36,0.22887
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,40,0.22393143
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,44,0.22270763
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,48,0.22071986
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,52,0.22564857
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,56,0.23126918
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,60,0.23559436
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,64,0.23943147
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,68,0.2425733
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,72,0.2451633
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,76,0.24731253
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,80,0.24910633
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,84,0.25061166
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,88,0.25188106
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,92,0.25420082
0,0.055629759468178705,0.05924704421793216,weights(8)(6)_0.npy,fi,6,96,0.2569975
