,vloss,tloss,fidelity,file,train_type,mq,data_idx,EM_dist
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,0,5.537249
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,4,3.6640768
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,8,3.3980336
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,12,3.1014898
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,16,2.7848482
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,20,2.3655074
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,24,1.7782665
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,28,1.2294819
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,32,0.8868083
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,36,0.67521286
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,40,0.55512094
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,44,0.47975844
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,48,0.4334537
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,52,0.4234246
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,56,0.435692
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,60,0.44739467
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,64,0.45959544
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,68,0.47004354
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,72,0.47906658
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,76,0.48691893
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,80,0.4938003
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,84,0.49986956
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,88,0.5065305
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,92,0.51394403
0,0.15603927522489247,0.16585582661110307,,weights(8)(4)_1.npy,fi,4,96,0.5285547
