,vloss,tloss,file,train_type,mq,data_idx,EM_dist
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,0,3.1251583
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,4,4.461992
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,8,4.171513
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,12,3.8237069
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,16,3.3946166
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,20,2.7547066
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,24,1.9083598
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,28,1.3150742
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,32,0.92627263
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,36,0.7388576
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,40,0.6552166
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,44,0.5928144
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,48,0.54345715
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,52,0.51553535
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,56,0.50485903
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,60,0.49417278
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,64,0.48989534
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,68,0.48852634
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,72,0.4905376
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,76,0.49218988
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,80,0.4935525
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,84,0.49467987
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,88,0.49783266
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,92,0.5007888
0,0.20303538288820577,0.14532848881949842,weights(8)(3)_3.npy,fi,3,96,0.50341254
