,vloss,tloss,file,train_type,mq,data_idx,EM_dist
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,0,3.7562075
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,4,2.571188
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,8,2.2506132
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,12,1.9946684
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,16,1.7997473
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,20,1.5954534
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,24,1.2794036
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,28,0.9540665
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,32,0.7189467
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,36,0.566373
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,40,0.46446243
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,44,0.407946
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,48,0.41517052
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,52,0.42164335
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,56,0.42985368
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,60,0.43698227
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,64,0.44319254
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,68,0.44862843
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,72,0.45341116
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,76,0.45764172
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,80,0.46140337
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,84,0.46476465
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,88,0.46778286
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,92,0.47050458
0,0.18877103288392327,0.11860834185521921,weights(8)(4)_0.npy,fi,4,96,0.47296965
