,vloss,tloss,file,train_type,mq,data_idx,EM_dist
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,0,3.1427891
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,4,3.0787325
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,8,2.8488228
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,12,2.6752033
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,16,2.5079858
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,20,2.208013
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,24,1.7598282
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,28,1.3243912
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,32,0.9962924
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,36,0.8138372
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,40,0.71188927
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,44,0.6340475
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,48,0.5802792
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,52,0.5681626
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,56,0.5596906
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,60,0.5515629
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,64,0.54277396
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,68,0.5337795
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,72,0.52484655
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,76,0.5161303
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,80,0.5077181
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,84,0.49965492
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,88,0.49196014
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,92,0.50094163
0,0.20072433156862038,0.17101745798518567,weights(8)(2)_3.npy,fi,2,96,0.5136211
