,vloss,tloss,fidelity,file,train_type,mq,data_idx
0,0.006811263515616305,0.010085048374314207,0.973706313777165,weights(8)(7)_0.npy,fi,7,0
0,0.006811263515616305,0.010085048374314207,0.9854764805937616,weights(8)(7)_0.npy,fi,7,4
0,0.006811263515616305,0.010085048374314207,0.9910240368542635,weights(8)(7)_0.npy,fi,7,8
0,0.006811263515616305,0.010085048374314207,0.9895011860002542,weights(8)(7)_0.npy,fi,7,12
0,0.006811263515616305,0.010085048374314207,0.9850242396612058,weights(8)(7)_0.npy,fi,7,16
0,0.006811263515616305,0.010085048374314207,0.9823767441494083,weights(8)(7)_0.npy,fi,7,20
0,0.006811263515616305,0.010085048374314207,0.9835169672141486,weights(8)(7)_0.npy,fi,7,24
0,0.006811263515616305,0.010085048374314207,0.9857907266900241,weights(8)(7)_0.npy,fi,7,28
0,0.006811263515616305,0.010085048374314207,0.9874337557503113,weights(8)(7)_0.npy,fi,7,32
0,0.006811263515616305,0.010085048374314207,0.9886183367629247,weights(8)(7)_0.npy,fi,7,36
0,0.006811263515616305,0.010085048374314207,0.9895736438576397,weights(8)(7)_0.npy,fi,7,40
0,0.006811263515616305,0.010085048374314207,0.9903627950079441,weights(8)(7)_0.npy,fi,7,44
0,0.006811263515616305,0.010085048374314207,0.9910050851633612,weights(8)(7)_0.npy,fi,7,48
0,0.006811263515616305,0.010085048374314207,0.9915166242709373,weights(8)(7)_0.npy,fi,7,52
0,0.006811263515616305,0.010085048374314207,0.9919158418573952,weights(8)(7)_0.npy,fi,7,56
0,0.006811263515616305,0.010085048374314207,0.9922207247484449,weights(8)(7)_0.npy,fi,7,60
0,0.006811263515616305,0.010085048374314207,0.992448022395693,weights(8)(7)_0.npy,fi,7,64
0,0.006811263515616305,0.010085048374314207,0.9926121005149662,weights(8)(7)_0.npy,fi,7,68
0,0.006811263515616305,0.010085048374314207,0.9927248875924615,weights(8)(7)_0.npy,fi,7,72
0,0.006811263515616305,0.010085048374314207,0.9927965855549863,weights(8)(7)_0.npy,fi,7,76
0,0.006811263515616305,0.010085048374314207,0.9928349954747602,weights(8)(7)_0.npy,fi,7,80
0,0.006811263515616305,0.010085048374314207,0.9928468223622559,weights(8)(7)_0.npy,fi,7,84
0,0.006811263515616305,0.010085048374314207,0.99283746297118,weights(8)(7)_0.npy,fi,7,88
0,0.006811263515616305,0.010085048374314207,0.9928110171076074,weights(8)(7)_0.npy,fi,7,92
0,0.006811263515616305,0.010085048374314207,0.9927710982619268,weights(8)(7)_0.npy,fi,7,96
