,vloss,tloss,fidelity,file,train_type,mq,data_idx
0,0.2569488430214434,0.45843055380223563,0.5421703240737258,weights(8)(2)_3.npy,fi,2,0
0,0.2569488430214434,0.45843055380223563,0.1900029087240488,weights(8)(2)_3.npy,fi,2,4
0,0.2569488430214434,0.45843055380223563,0.2085722566644245,weights(8)(2)_3.npy,fi,2,8
0,0.2569488430214434,0.45843055380223563,0.23285806240128815,weights(8)(2)_3.npy,fi,2,12
0,0.2569488430214434,0.45843055380223563,0.2765789578114005,weights(8)(2)_3.npy,fi,2,16
0,0.2569488430214434,0.45843055380223563,0.3642544542909543,weights(8)(2)_3.npy,fi,2,20
0,0.2569488430214434,0.45843055380223563,0.5076349316485642,weights(8)(2)_3.npy,fi,2,24
0,0.2569488430214434,0.45843055380223563,0.6572197023772305,weights(8)(2)_3.npy,fi,2,28
0,0.2569488430214434,0.45843055380223563,0.7633960888575136,weights(8)(2)_3.npy,fi,2,32
0,0.2569488430214434,0.45843055380223563,0.8288598704258272,weights(8)(2)_3.npy,fi,2,36
0,0.2569488430214434,0.45843055380223563,0.8694175256367441,weights(8)(2)_3.npy,fi,2,40
0,0.2569488430214434,0.45843055380223563,0.8955833997126477,weights(8)(2)_3.npy,fi,2,44
0,0.2569488430214434,0.45843055380223563,0.9131056023688168,weights(8)(2)_3.npy,fi,2,48
0,0.2569488430214434,0.45843055380223563,0.9251618604658397,weights(8)(2)_3.npy,fi,2,52
0,0.2569488430214434,0.45843055380223563,0.9336056672457729,weights(8)(2)_3.npy,fi,2,56
0,0.2569488430214434,0.45843055380223563,0.939577312880512,weights(8)(2)_3.npy,fi,2,60
0,0.2569488430214434,0.45843055380223563,0.9438115748363708,weights(8)(2)_3.npy,fi,2,64
0,0.2569488430214434,0.45843055380223563,0.946798907346918,weights(8)(2)_3.npy,fi,2,68
0,0.2569488430214434,0.45843055380223563,0.9488765967052868,weights(8)(2)_3.npy,fi,2,72
0,0.2569488430214434,0.45843055380223563,0.9502819404831525,weights(8)(2)_3.npy,fi,2,76
0,0.2569488430214434,0.45843055380223563,0.9511851503237418,weights(8)(2)_3.npy,fi,2,80
0,0.2569488430214434,0.45843055380223563,0.9517106530090094,weights(8)(2)_3.npy,fi,2,84
0,0.2569488430214434,0.45843055380223563,0.9519501982096764,weights(8)(2)_3.npy,fi,2,88
0,0.2569488430214434,0.45843055380223563,0.9519726810438341,weights(8)(2)_3.npy,fi,2,92
0,0.2569488430214434,0.45843055380223563,0.9518300167205135,weights(8)(2)_3.npy,fi,2,96
