,vloss,tloss,fidelity,file,train_type,mq,data_idx
0,0.16034311926841627,0.16344485989570973,0.6227398828906527,weights(8)(5)_3.npy,fi,5,0
0,0.16034311926841627,0.16344485989570973,0.34466157719202695,weights(8)(5)_3.npy,fi,5,4
0,0.16034311926841627,0.16344485989570973,0.3965223148168964,weights(8)(5)_3.npy,fi,5,8
0,0.16034311926841627,0.16344485989570973,0.45332822983009896,weights(8)(5)_3.npy,fi,5,12
0,0.16034311926841627,0.16344485989570973,0.5219204236580272,weights(8)(5)_3.npy,fi,5,16
0,0.16034311926841627,0.16344485989570973,0.614678906004469,weights(8)(5)_3.npy,fi,5,20
0,0.16034311926841627,0.16344485989570973,0.7280714943589977,weights(8)(5)_3.npy,fi,5,24
0,0.16034311926841627,0.16344485989570973,0.8230961730782246,weights(8)(5)_3.npy,fi,5,28
0,0.16034311926841627,0.16344485989570973,0.8794890282578022,weights(8)(5)_3.npy,fi,5,32
0,0.16034311926841627,0.16344485989570973,0.9090269440653304,weights(8)(5)_3.npy,fi,5,36
0,0.16034311926841627,0.16344485989570973,0.9244210732299684,weights(8)(5)_3.npy,fi,5,40
0,0.16034311926841627,0.16344485989570973,0.9324488401480845,weights(8)(5)_3.npy,fi,5,44
0,0.16034311926841627,0.16344485989570973,0.9364228885479349,weights(8)(5)_3.npy,fi,5,48
0,0.16034311926841627,0.16344485989570973,0.9380420043593373,weights(8)(5)_3.npy,fi,5,52
0,0.16034311926841627,0.16344485989570973,0.9382398567484851,weights(8)(5)_3.npy,fi,5,56
0,0.16034311926841627,0.16344485989570973,0.9375613815896212,weights(8)(5)_3.npy,fi,5,60
0,0.16034311926841627,0.16344485989570973,0.9363397500829131,weights(8)(5)_3.npy,fi,5,64
0,0.16034311926841627,0.16344485989570973,0.9347857051240616,weights(8)(5)_3.npy,fi,5,68
0,0.16034311926841627,0.16344485989570973,0.9330356824089904,weights(8)(5)_3.npy,fi,5,72
0,0.16034311926841627,0.16344485989570973,0.9311794472872531,weights(8)(5)_3.npy,fi,5,76
0,0.16034311926841627,0.16344485989570973,0.9292766900523807,weights(8)(5)_3.npy,fi,5,80
0,0.16034311926841627,0.16344485989570973,0.927367442808794,weights(8)(5)_3.npy,fi,5,84
0,0.16034311926841627,0.16344485989570973,0.9254781490187067,weights(8)(5)_3.npy,fi,5,88
0,0.16034311926841627,0.16344485989570973,0.9236261128665849,weights(8)(5)_3.npy,fi,5,92
0,0.16034311926841627,0.16344485989570973,0.9218225334845523,weights(8)(5)_3.npy,fi,5,96
