,vloss,tloss,fidelity,file,train_type,mq,data_idx
0,0.48267637580597295,0.293570918309749,0.2925325938542709,weights(8)(4)_0.npy,fi,4,0
0,0.48267637580597295,0.293570918309749,0.23844962795885596,weights(8)(4)_0.npy,fi,4,4
0,0.48267637580597295,0.293570918309749,0.28538506288084925,weights(8)(4)_0.npy,fi,4,8
0,0.48267637580597295,0.293570918309749,0.34246791651808306,weights(8)(4)_0.npy,fi,4,12
0,0.48267637580597295,0.293570918309749,0.4190937476837833,weights(8)(4)_0.npy,fi,4,16
0,0.48267637580597295,0.293570918309749,0.530261939364237,weights(8)(4)_0.npy,fi,4,20
0,0.48267637580597295,0.293570918309749,0.6711012885500918,weights(8)(4)_0.npy,fi,4,24
0,0.48267637580597295,0.293570918309749,0.791056809194678,weights(8)(4)_0.npy,fi,4,28
0,0.48267637580597295,0.293570918309749,0.8617161783497704,weights(8)(4)_0.npy,fi,4,32
0,0.48267637580597295,0.293570918309749,0.8978646698286286,weights(8)(4)_0.npy,fi,4,36
0,0.48267637580597295,0.293570918309749,0.9163232639957527,weights(8)(4)_0.npy,fi,4,40
0,0.48267637580597295,0.293570918309749,0.9259378532528516,weights(8)(4)_0.npy,fi,4,44
0,0.48267637580597295,0.293570918309749,0.9308747486289788,weights(8)(4)_0.npy,fi,4,48
0,0.48267637580597295,0.293570918309749,0.9331783621134496,weights(8)(4)_0.npy,fi,4,52
0,0.48267637580597295,0.293570918309749,0.9339259087612344,weights(8)(4)_0.npy,fi,4,56
0,0.48267637580597295,0.293570918309749,0.9337245006409145,weights(8)(4)_0.npy,fi,4,60
0,0.48267637580597295,0.293570918309749,0.9329354644997057,weights(8)(4)_0.npy,fi,4,64
0,0.48267637580597295,0.293570918309749,0.9317826082140656,weights(8)(4)_0.npy,fi,4,68
0,0.48267637580597295,0.293570918309749,0.9304088635389498,weights(8)(4)_0.npy,fi,4,72
0,0.48267637580597295,0.293570918309749,0.9289079152017294,weights(8)(4)_0.npy,fi,4,76
0,0.48267637580597295,0.293570918309749,0.9273413636068184,weights(8)(4)_0.npy,fi,4,80
0,0.48267637580597295,0.293570918309749,0.9257506790760798,weights(8)(4)_0.npy,fi,4,84
0,0.48267637580597295,0.293570918309749,0.9241636209657413,weights(8)(4)_0.npy,fi,4,88
0,0.48267637580597295,0.293570918309749,0.9225985134611,weights(8)(4)_0.npy,fi,4,92
0,0.48267637580597295,0.293570918309749,0.921067624912608,weights(8)(4)_0.npy,fi,4,96
