,vloss,tloss,fidelity,file,train_type,mq,data_idx,EM_dist
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,0,1.3554819
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,4,1.0629609
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,8,0.8631206
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,12,0.69272995
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,16,0.5440767
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,20,0.4397915
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,24,0.39275843
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,28,0.3432601
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,32,0.32328495
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,36,0.30536234
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,40,0.2879231
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,44,0.27826792
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,48,0.26600683
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,52,0.25306588
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,56,0.24246278
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,60,0.23247935
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,64,0.22316797
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,68,0.21600431
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,72,0.21464624
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,76,0.21391644
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,80,0.21299472
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,84,0.21782464
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,88,0.22298159
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,92,0.22774354
0,0.04909328213573535,0.07297011764147139,,weights(8)(6)_1.npy,em4,6,96,0.23212977
