,vloss,tloss,EM_dist,file,train_type,mq,data_idx
0,0.3171750192258659,0.5857244732129248,7.3097935,weights(8)(1)_0.npy,em4,1,0
0,0.3171750192258659,0.5857244732129248,0.13301122,weights(8)(1)_0.npy,em4,1,4
0,0.3171750192258659,0.5857244732129248,0.12700419,weights(8)(1)_0.npy,em4,1,8
0,0.3171750192258659,0.5857244732129248,0.118885115,weights(8)(1)_0.npy,em4,1,12
0,0.3171750192258659,0.5857244732129248,0.10716011,weights(8)(1)_0.npy,em4,1,16
0,0.3171750192258659,0.5857244732129248,0.11247751,weights(8)(1)_0.npy,em4,1,20
0,0.3171750192258659,0.5857244732129248,0.13381785,weights(8)(1)_0.npy,em4,1,24
0,0.3171750192258659,0.5857244732129248,0.15739486,weights(8)(1)_0.npy,em4,1,28
0,0.3171750192258659,0.5857244732129248,0.17191379,weights(8)(1)_0.npy,em4,1,32
0,0.3171750192258659,0.5857244732129248,0.18006834,weights(8)(1)_0.npy,em4,1,36
0,0.3171750192258659,0.5857244732129248,0.18480588,weights(8)(1)_0.npy,em4,1,40
0,0.3171750192258659,0.5857244732129248,0.18773314,weights(8)(1)_0.npy,em4,1,44
0,0.3171750192258659,0.5857244732129248,0.18964447,weights(8)(1)_0.npy,em4,1,48
0,0.3171750192258659,0.5857244732129248,0.19094722,weights(8)(1)_0.npy,em4,1,52
0,0.3171750192258659,0.5857244732129248,0.1918644,weights(8)(1)_0.npy,em4,1,56
0,0.3171750192258659,0.5857244732129248,0.19252595,weights(8)(1)_0.npy,em4,1,60
0,0.3171750192258659,0.5857244732129248,0.19301182,weights(8)(1)_0.npy,em4,1,64
0,0.3171750192258659,0.5857244732129248,0.19337344,weights(8)(1)_0.npy,em4,1,68
0,0.3171750192258659,0.5857244732129248,0.193645,weights(8)(1)_0.npy,em4,1,72
0,0.3171750192258659,0.5857244732129248,0.1938501,weights(8)(1)_0.npy,em4,1,76
0,0.3171750192258659,0.5857244732129248,0.19400537,weights(8)(1)_0.npy,em4,1,80
0,0.3171750192258659,0.5857244732129248,0.19412272,weights(8)(1)_0.npy,em4,1,84
0,0.3171750192258659,0.5857244732129248,0.19421092,weights(8)(1)_0.npy,em4,1,88
0,0.3171750192258659,0.5857244732129248,0.19427648,weights(8)(1)_0.npy,em4,1,92
0,0.3171750192258659,0.5857244732129248,0.19432433,weights(8)(1)_0.npy,em4,1,96
