,vloss,tloss,fidelity,file,train_type,mq,data_idx
0,0.6243327591178387,0.6803709664744905,0.04165809613654835,weights(8)(2)_1.npy,em,2,0
0,0.6243327591178387,0.6803709664744905,0.03634520611328485,weights(8)(2)_1.npy,em,2,4
0,0.6243327591178387,0.6803709664744905,0.05087273893433262,weights(8)(2)_1.npy,em,2,8
0,0.6243327591178387,0.6803709664744905,0.0759073351840375,weights(8)(2)_1.npy,em,2,12
0,0.6243327591178387,0.6803709664744905,0.1264521233538389,weights(8)(2)_1.npy,em,2,16
0,0.6243327591178387,0.6803709664744905,0.2344604113446888,weights(8)(2)_1.npy,em,2,20
0,0.6243327591178387,0.6803709664744905,0.4183559613791104,weights(8)(2)_1.npy,em,2,24
0,0.6243327591178387,0.6803709664744905,0.6068183706648566,weights(8)(2)_1.npy,em,2,28
0,0.6243327591178387,0.6803709664744905,0.7296392765702604,weights(8)(2)_1.npy,em,2,32
0,0.6243327591178387,0.6803709664744905,0.7955632755752228,weights(8)(2)_1.npy,em,2,36
0,0.6243327591178387,0.6803709664744905,0.8297137505023788,weights(8)(2)_1.npy,em,2,40
0,0.6243327591178387,0.6803709664744905,0.8473448798835793,weights(8)(2)_1.npy,em,2,44
0,0.6243327591178387,0.6803709664744905,0.856130120517933,weights(8)(2)_1.npy,em,2,48
0,0.6243327591178387,0.6803709664744905,0.8599590703478788,weights(8)(2)_1.npy,em,2,52
0,0.6243327591178387,0.6803709664744905,0.8609069059443022,weights(8)(2)_1.npy,em,2,56
0,0.6243327591178387,0.6803709664744905,0.8601406042861935,weights(8)(2)_1.npy,em,2,60
0,0.6243327591178387,0.6803709664744905,0.8583468777659091,weights(8)(2)_1.npy,em,2,64
0,0.6243327591178387,0.6803709664744905,0.855944233645362,weights(8)(2)_1.npy,em,2,68
0,0.6243327591178387,0.6803709664744905,0.8531944562336069,weights(8)(2)_1.npy,em,2,72
0,0.6243327591178387,0.6803709664744905,0.8502644151370701,weights(8)(2)_1.npy,em,2,76
0,0.6243327591178387,0.6803709664744905,0.8472615052197903,weights(8)(2)_1.npy,em,2,80
0,0.6243327591178387,0.6803709664744905,0.8442552283370313,weights(8)(2)_1.npy,em,2,84
0,0.6243327591178387,0.6803709664744905,0.841290358154122,weights(8)(2)_1.npy,em,2,88
0,0.6243327591178387,0.6803709664744905,0.8383951994068763,weights(8)(2)_1.npy,em,2,92
0,0.6243327591178387,0.6803709664744905,0.835587075167243,weights(8)(2)_1.npy,em,2,96
